# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 17
             TABLE C. 5           CASE R.ST0      Station=  1
             X/H=  -4.0      Tunnel Run#=  57   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           29  8.20  0.798 -0.006  3.37  2.12  0.85  -0.50 -0.25 -0.26 -0.19

  6 28
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 21
             X/H=  20.0      Tunnel Run#=  37   Ue/Uref=   0.943      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.540 -0.012  6.27  3.05 -0.90   0.87  0.13  0.06  0.02
            3  0.15  0.566 -0.009  6.89  2.88 -0.96   0.92  0.12  0.15 -0.17
            4  0.20  0.582 -0.011  6.84  3.48 -1.06   0.85  0.14  0.02 -0.21
            5  0.30  0.604 -0.012  7.11  4.06 -1.27   0.88  0.32 -0.12 -0.30
            6  0.40  0.622 -0.012  7.47  4.58 -1.63   0.75  0.16 -0.12  0.02
            7  0.50  0.638 -0.015  7.68  4.86 -1.87   0.39  0.09 -0.16 -0.09
            8  0.60  0.658 -0.015  8.23  5.12 -2.15  -0.20 -0.12  0.04  0.25
            9  0.70  0.675 -0.017  8.28  5.04 -2.23  -0.62 -0.33  0.29  0.26
           10  0.80  0.693 -0.017  8.69  5.10 -2.50  -1.43 -0.64  0.55  0.72
           11  0.90  0.714 -0.017  8.64  5.14 -2.63  -2.08 -0.87  0.83  0.95
           12  1.00  0.736 -0.020  8.38  4.75 -2.43  -2.85 -1.25  1.13  1.23
           13  1.10  0.754 -0.017  8.18  4.51 -2.46  -3.67 -1.38  1.47  1.35
           14  1.15  0.764 -0.018  7.90  4.38 -2.34  -3.86 -1.49  1.51  1.42
           15  1.20  0.773 -0.019  7.61  4.25 -2.23  -4.05 -1.60  1.55  1.49
           16  1.30  0.796 -0.018  6.84  3.77 -2.02  -4.23 -1.64  1.71  1.59
           17  1.40  0.817 -0.018  6.04  3.28 -1.68  -4.13 -1.46  1.58  1.40
           18  1.50  0.833 -0.017  5.52  2.97 -1.59  -4.38 -1.54  1.75  1.35
           19  1.70  0.866 -0.015  3.75  2.17 -0.95  -2.77 -0.93  1.09  0.87
           20  2.00  0.908 -0.012  1.89  1.27 -0.38  -0.89 -0.33  0.37  0.35
           21  2.40  0.934 -0.009  0.82  0.75  0.04  -0.01 -0.01  0.02  0.07
           22  2.80  0.939 -0.007  0.65  0.52  0.11   0.05  0.03  0.01  0.03
           23  3.20  0.940 -0.008  0.56  0.43  0.10   0.04  0.02  0.00  0.02
           24  3.60  0.940 -0.008  0.58  0.41  0.14   0.04  0.02  0.00  0.01
           25  4.00  0.941 -0.009  0.53  0.38  0.10   0.04  0.02  0.00  0.01
           26  5.00  0.942 -0.010  0.51  0.36  0.10   0.04  0.02  0.00  0.01
           27  6.00  0.943 -0.011  0.49  0.33  0.09   0.04  0.02  0.00  0.01
           28  7.50  0.931 -0.010  0.83  0.55  0.18  -0.12 -0.02 -0.03 -0.02
           29  8.20  0.800 -0.003  3.58  2.29  0.95  -0.56 -0.22 -0.27 -0.20

  6 27
             TABLE C. 5  (cont.)  CASE R.ST0      Station= 22
             X/H=  32.0      Tunnel Run#=  36   Ue/Uref=   0.944      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.581 -0.005  5.31  2.95 -0.89   0.23  0.07  0.14  0.13
            3  0.15  0.604 -0.004  5.42  2.86 -0.97   0.18  0.03  0.08  0.12
            4  0.20  0.621 -0.004  5.28  3.02 -1.01   0.23  0.03  0.10  0.13
            5  0.30  0.645 -0.005  5.26  3.32 -1.16   0.26  0.13  0.04  0.02
            6  0.40  0.662 -0.004  5.73  3.35 -1.30   0.16  0.11  0.08 -0.05
            7  0.50  0.679 -0.005  5.66  3.63 -1.50   0.48  0.20 -0.11 -0.09
            8  0.60  0.691 -0.006  5.74  3.90 -1.59   0.32  0.08 -0.08  0.02
            9  0.70  0.705 -0.006  5.98  3.85 -1.69   0.10  0.01 -0.01  0.09
           10  0.80  0.718 -0.008  5.90  3.96 -1.71  -0.18 -0.18  0.12  0.28
           11  0.90  0.734 -0.009  5.99  4.06 -1.88  -0.45 -0.30  0.28  0.44
           12  1.00  0.747 -0.010  6.16  4.15 -1.97  -0.80 -0.39  0.42  0.41
           13  1.10  0.761 -0.009  6.00  4.01 -1.94  -0.99 -0.45  0.49  0.59
           14  1.15  0.769 -0.011  5.92  3.90 -1.92  -1.18 -0.57  0.57  0.69
           15  1.20  0.778 -0.013  5.84  3.80 -1.89  -1.36 -0.69  0.64  0.78
           16  1.30  0.792 -0.013  5.61  3.73 -1.83  -1.53 -0.86  0.75  0.82
           17  1.40  0.808 -0.013  5.43  3.53 -1.75  -1.75 -0.99  0.90  0.89
           18  1.50  0.821 -0.013  5.15  3.37 -1.66  -2.08 -1.05  1.02  0.92
           19  1.70  0.848 -0.012  4.49  2.86 -1.39  -2.39 -1.15  1.10  0.92
           20  2.00  0.886 -0.011  3.01  2.01 -0.80  -1.88 -0.81  0.76  0.61
           21  2.40  0.922 -0.008  1.41  1.10 -0.35  -0.74 -0.31  0.39  0.29
           22  2.80  0.936 -0.006  0.70  0.64 -0.06   0.00 -0.01  0.04  0.05
           23  3.20  0.941 -0.003  0.53  0.45  0.00   0.05  0.03  0.02  0.04
           24  3.60  0.942 -0.004  0.44  0.37  0.01   0.04  0.02  0.01  0.01
           25  4.00  0.943 -0.005  0.40  0.33  0.01   0.04  0.02  0.01  0.01
           26  5.00  0.944 -0.006  0.39  0.32  0.02   0.04  0.03  0.01  0.01
           27  6.00  0.944 -0.007  0.38  0.30  0.03   0.04  0.03  0.01  0.02
           28  7.50  0.912 -0.005  1.21  0.87  0.25  -0.28 -0.11 -0.10 -0.07
